frame_id,stone_id,team,x_px,y_px
997,1121,yellow,540,8
997,1122,red,637,129
998,1123,yellow,540,8
999,1124,yellow,540,8
1000,1125,yellow,540,8
1001,1126,yellow,540,8
1002,1127,yellow,540,8
1003,1128,yellow,540,8
1004,1129,yellow,540,8
1005,1130,yellow,540,8
1006,1131,yellow,540,8
1007,1132,yellow,540,8
1008,1133,yellow,540,8
1008,1134,red,643,156
1009,1135,red,642,157
1009,1136,yellow,540,8
1010,1137,red,643,160
1010,1138,yellow,540,8
1011,1139,red,644,161
1011,1140,yellow,540,8
1012,1141,red,644,163
1012,1142,yellow,540,8
1013,1143,red,644,163
1013,1144,yellow,540,8
1014,1145,red,644,164
1014,1146,yellow,540,8
1015,1147,red,645,166
1015,1148,yellow,540,8
1016,1149,red,645,166
1016,1150,yellow,540,8
1017,1151,red,645,166
1017,1152,yellow,540,8
1018,1153,red,645,166
1018,1154,yellow,540,8
1019,1155,red,645,167
1019,1156,yellow,540,8
1020,1157,red,645,167
1020,1158,yellow,540,8
1021,1159,red,645,167
1021,1160,yellow,540,8
1022,1161,red,645,167
1022,1162,yellow,540,8
1023,1163,red,645,167
1023,1164,yellow,540,8
1024,1165,red,645,167
1024,1166,yellow,540,8
1025,1167,red,645,166
1025,1168,yellow,540,8
1025,1169,yellow,586,519
1026,1170,red,645,166
1026,1171,yellow,540,8
1027,1172,red,645,166
1027,1173,yellow,540,8
1028,1174,red,645,166
1028,1175,yellow,540,8
1029,1176,red,645,166
1029,1177,yellow,540,8
1030,1178,red,645,166
1030,1179,yellow,540,8
1031,1180,red,645,166
1031,1181,yellow,540,8
1032,1182,red,645,166
1032,1183,yellow,540,8
1033,1184,red,645,166
1033,1185,yellow,540,8
1034,1186,red,645,166
1034,1187,yellow,540,8
1035,1188,red,645,167
1035,1189,yellow,540,8
1036,1190,red,645,167
1036,1191,yellow,540,8
1037,1192,red,645,167
1037,1193,yellow,540,8
1038,1194,red,645,167
1038,1195,yellow,540,8
1039,1196,red,645,167
1039,1197,yellow,540,8
1040,1198,red,645,167
1040,1199,yellow,540,8
1041,1200,red,645,167
1041,1201,yellow,540,8
1042,1202,red,645,167
1042,1203,yellow,540,8
1042,1204,yellow,587,523
1043,1205,red,645,167
1043,1206,yellow,540,8
1044,1207,red,645,167
1044,1208,yellow,540,8
1045,1209,red,645,167
1045,1210,yellow,540,8
1046,1211,red,645,167
1046,1212,yellow,540,8
1047,1213,red,645,167
1047,1214,yellow,540,8
1047,1215,yellow,578,522
1048,1216,red,645,167
1048,1217,yellow,540,8
1048,1218,yellow,587,522
1049,1219,red,645,167
1049,1220,yellow,540,8
1049,1221,yellow,592,522
1050,1222,red,645,167
1050,1223,yellow,540,8
1050,1224,yellow,589,523
1051,1225,red,645,167
1051,1226,yellow,540,8
1051,1227,yellow,589,523
1052,1228,red,645,167
1052,1229,yellow,540,8
1053,1230,red,645,167
1053,1231,yellow,540,8
1054,1232,red,645,167
1054,1233,yellow,540,8
1055,1234,red,645,167
1055,1235,yellow,540,8
1056,1236,red,645,167
1056,1237,yellow,540,8
1057,1238,red,645,167
1057,1239,yellow,540,8
1058,1240,red,645,167
1058,1241,yellow,540,8
1059,1242,red,645,167
1059,1243,yellow,540,8
1060,1244,red,645,167
1060,1245,yellow,540,8
1061,1246,red,645,167
1061,1247,yellow,540,8
1062,1248,red,645,167
1062,1249,yellow,540,8
1063,1250,red,645,167
1063,1251,yellow,540,8
1064,1252,red,645,167
1064,1253,yellow,540,8
1065,1254,red,645,167
